iter	RMSE
0	71.43662299
1	70.90630577
2	70.39430375
3	69.61365423
4	69.13735794
5	67.73111303
6	66.36774793
7	65.94325963
8	65.53713978
9	65.14024392
10	64.40638855
11	63.84194067
12	63.50118632
13	63.16715301
14	62.73774333
15	62.43940973
16	62.15536021
17	61.33857963
18	61.07833194
19	60.82416071
20	60.34255467
21	60.00238335
22	59.42969013
23	59.21560554
24	59.01421867
25	58.81500767
26	58.63163479
27	58.11455013
28	57.86879241
29	57.63977113
30	57.47927587
31	57.33314309
32	57.19452241
33	57.05420007
34	56.9277866
35	56.71730956
36	56.6022861
37	56.49239004
38	56.38880005
39	56.21469886
40	56.11604315
41	55.57958317
42	55.48893855
43	55.40062353
44	55.3189391
45	55.23720922
46	55.16313876
47	55.09164211
48	54.64234461
49	54.52847323
50	54.46272927
51	54.37855042
52	53.91890064
53	53.85710781
54	53.57044693
55	53.5160062
56	53.46060037
57	53.11022473
58	53.05648318
59	53.00869188
60	52.96383779
61	52.91991165
62	52.79460858
63	52.24098979
64	52.09312612
65	52.05619483
66	52.01579892
67	51.98238512
68	51.95044589
69	51.59287972
70	51.55020859
71	51.51928346
72	51.0698635
73	51.04120974
74	50.76686653
75	50.74031923
76	50.40299644
77	50.37757991
78	50.12999344
79	49.86855148
80	49.84410926
81	49.6416173
82	49.6182715
83	49.59253682
84	49.5713882
85	49.54802571
86	49.52835888
87	49.51023089
88	49.49289695
89	49.40074869
90	49.38487231
91	49.13799926
92	48.65559314
93	48.48615765
94	48.47061602
95	48.45677895
96	48.44363062
97	47.89501955
98	47.88242894
99	47.87011942
100	47.85874915
101	47.63967534
102	47.62914121
103	47.36395926
104	47.3541592
105	47.11278963
106	46.59942463
107	46.42465497
108	46.2159131
109	45.73170888
110	45.60394158
111	45.4983438
112	45.04838485
113	44.6301741
114	44.52477893
115	44.42349795
116	44.3293506
117	43.93742524
118	43.84750354
119	43.54161691
120	43.26316085
121	43.17972045
122	43.17004577
123	43.09368063
124	43.08183302
125	43.00609681
126	42.75069625
127	42.64747979
128	42.56982989
129	42.473674
130	42.23969871
131	42.02683198
132	41.9373505
133	41.87807071
134	41.81160538
135	41.80403476
136	41.74690396
137	41.74006796
138	41.73349806
139	41.7273264
140	41.72143766
141	41.57488948
142	41.56715439
143	41.5618376
144	41.50560978
145	41.36829893
146	41.3632638
147	41.30585372
148	41.30100959
149	41.23071432
150	41.18876177
151	41.18302378
152	41.14323938
153	41.10559487
154	41.06991131
155	41.03454732
156	41.03016131
157	40.82907424
158	40.54435434
159	40.53898551
160	40.53456778
161	40.5304353
162	40.52656231
163	40.24592643
164	40.24303831
165	40.23945447
166	40.21792809
167	40.03421178
168	39.9677379
169	39.9351122
170	39.90527156
171	39.90216086
172	39.87737604
173	39.84901066
174	39.84588039
175	39.79997233
176	39.67131756
177	39.64678925
178	39.59537157
179	39.36352982
180	39.34446525
181	39.3273295
182	39.22097317
183	39.1825349
184	39.16779676
185	39.13944704
186	39.03983595
187	39.00459312
188	38.98040482
189	38.9676762
190	38.96460261
191	38.94060538
192	38.93782322
193	38.8443599
194	38.80773486
195	38.79205409
196	38.70383499
197	38.68508621
198	38.68276104
199	38.67270806
200	38.64180452
201	38.62261988
202	38.59424544
203	38.56738536
204	38.54268452
205	38.43409675
206	38.31639308
207	38.30441279
208	38.28083897
209	38.27675105
210	38.24258469
211	38.23420101
212	38.21159507
213	38.19071164
214	38.1835837
215	38.1774427
216	38.14721277
217	38.0239182
218	38.01868229
219	37.92690383
220	37.90819162
221	37.9068833
222	37.90073685
223	37.89547773
224	37.81551454
225	37.81375043
226	37.81214325
227	37.70473317
228	37.57737442
229	37.55136696
230	37.52741183
231	37.52645112
232	37.42971801
233	37.40352955
234	37.38140417
235	37.36099949
236	37.28569931
237	37.25211319
238	37.22033058
239	37.19816194
240	37.16804101
241	37.15367473
242	37.15094575
243	37.14893091
244	37.13052722
245	37.11865303
246	37.10078921
247	37.09876787
248	37.02678137
249	37.01016976
250	36.9928484
251	36.97900339
252	36.96250498
253	36.95012086
254	36.92482374
255	36.92394439
256	36.84724666
257	36.83943554
258	36.76702624
259	36.76639691
260	36.69871
261	36.65182098
262	36.63400297
263	36.38867155
264	36.33022398
265	36.3052816
266	36.28962199
267	36.27632977
268	36.26830814
269	36.26567584
270	36.25049452
271	36.15572252
272	36.15119447
273	36.13900985
274	36.12909022
275	36.06759514
276	36.04494638
277	36.04126417
278	36.01355704
279	35.94442521
280	35.9360612
281	35.93562474
282	35.88945978
283	35.87968624
284	35.86612899
285	35.84153198
286	35.79597597
287	35.75336784
288	35.74051413
289	35.70015923
290	35.68383985
291	35.66987507
292	35.66825937
293	35.65636216
294	35.64172672
295	35.63010994
296	35.61707216
297	35.59240505
298	35.54770705
299	35.52963576
300	35.52513097
301	35.51768614
302	35.5115662
303	35.47969807
304	35.46798613
305	35.46150386
306	35.45461761
307	35.44746285
308	35.41353701
309	35.38167841
310	35.37884027
311	35.36993259
312	35.33242434
313	35.32970661
314	35.29574064
315	35.28561805
316	35.23408871
317	35.22539434
318	35.20432645
319	35.20360992
320	35.17462713
321	35.1672134
322	35.16656954
323	35.12218848
324	35.03541519
325	35.02302254
326	34.9840173
327	34.95920788
328	34.95655477
329	34.93789873
330	34.90525523
331	34.87580787
332	34.85883867
333	34.84329998
334	34.82902749
335	34.53368158
336	34.51362786
337	34.50099627
338	34.46512863
339	34.4553455
340	34.44047577
341	34.42875396
342	34.41792061
343	34.40788357
344	34.39856294
345	34.38988918
346	34.37756684
347	34.36856545
348	34.35744354
349	34.33970828
350	33.78688112
351	33.77838677
352	33.7437959
353	33.74169476
354	33.71882402
355	33.68951035
356	33.6817849
357	33.67179018
358	33.66283032
359	33.65552486
360	33.64877977
361	33.63288533
362	33.6238911
363	33.61796352
364	33.59308337
365	33.58669928
366	33.58303432
367	33.56726656
368	33.54836062
369	33.54005587
370	33.53410153
371	33.51982893
372	33.50621586
373	33.4827592
374	33.4777189
375	33.46708235
376	33.44505867
377	33.44026532
378	33.25706086
379	33.24748585
380	33.22731935
381	33.22392883
382	33.20460655
383	33.18376895
384	33.17660237
385	33.16458437
386	33.16282629
387	33.16215223
388	33.15211256
389	33.13235017
390	33.1300599
391	33.12525766
392	33.11616119
393	33.09686952
394	33.08469129
395	33.02802237
396	33.02357209
397	33.00573537
398	32.99917684
399	32.98237796
400	32.94747797
401	32.94062154
402	32.93756966
403	32.92847738
404	32.89650474
405	32.89537462
406	32.87775316
407	32.85962449
408	32.85620807
409	32.82656706
410	32.81040567
411	32.80433448
412	32.80270957
413	32.79922824
414	32.78985334
415	32.78124361
416	32.76088512
417	32.74359745
418	32.73797658
419	32.70791135
420	32.70718766
421	32.70092454
422	32.69570917
423	32.68006511
424	32.67104868
425	32.60854762
426	32.58228615
427	32.57514271
428	32.56978108
429	32.56277754
430	32.561964
431	32.55559584
432	32.54855091
433	32.54815088
434	32.52297358
435	32.51899674
436	32.51509366
437	32.50955429
438	32.50714415
439	32.48274841
440	32.46647999
441	32.46555903
442	32.45341201
443	32.4527136
444	32.43747835
445	32.41332689
446	32.39090043
447	32.39000709
448	32.38455427
449	32.36749099
450	32.26159535
451	32.25664107
452	32.24133936
453	32.2341028
454	32.22314551
455	32.22175813
456	32.21850455
457	32.20445068
458	32.18977885
459	32.16568483
460	32.13876997
461	32.13840472
462	32.13416331
463	32.13084505
464	32.11117867
465	32.06509326
466	32.04690171
467	32.02502935
468	32.01444413
469	31.99789939
470	31.51005904
471	31.29286693
472	31.29241448
473	31.22154143
474	31.19947809
475	31.19736692
476	31.19430602
477	31.18032842
478	31.17996956
479	31.17976422
480	31.16353644
481	31.14501588
482	31.14256159
483	31.12730327
484	31.12574539
485	31.10734012
486	31.10696476
487	31.0859886
488	31.07194333
489	31.06743577
490	31.06425151
491	31.06193435
492	31.06164273
493	30.90555164
494	30.88719994
495	30.88540635
496	30.87380191
497	30.86804391
498	30.86741801
499	30.85415536
500	30.81431933
501	30.80109557
502	30.80045888
503	30.77597047
504	30.7633601
505	30.76188492
506	30.76056433
507	30.75067973
508	30.29416554
509	30.29150903
510	29.85169581
511	29.84838978
512	29.84783697
513	29.84687329
514	29.84030753
515	29.41660856
516	29.40414653
517	29.39225912
518	29.3819855
519	29.37422578
520	29.36461672
521	29.31851031
522	29.31381869
523	29.29991145
524	29.29739506
525	29.28704127
526	29.28166753
527	29.27661525
528	29.26923773
529	29.25730619
530	29.25213292
531	29.23054751
532	29.22905281
533	29.22708165
534	29.21574155
535	29.21199742
536	29.21171041
537	29.21035132
538	29.20658064
539	29.20479511
540	29.19399116
541	29.19000419
542	29.13663019
543	28.72846959
544	28.71488229
545	28.71035981
546	28.31718377
547	28.2928947
548	28.29126148
549	28.28059624
550	28.2794566
551	28.27789695
552	28.26265623
553	28.26220711
554	28.26204104
555	28.26047276
556	28.23838554
557	28.21765701
558	28.20749747
559	28.20012318
560	28.18026125
561	28.17979022
562	28.17844513
563	27.79818964
564	27.78921171
565	27.78500386
566	27.76271622
567	27.3962414
568	27.39383575
569	27.39026136
570	27.37093779
571	27.36143913
572	27.34329901
573	27.33320312
574	27.323388
575	27.31261909
576	27.31061259
577	27.30773475
578	27.29026854
579	27.28685955
580	27.28520838
581	27.27536704
582	27.25890328
583	27.25571226
584	27.25437369
585	27.25369893
586	27.25275601
587	27.24381499
588	27.23625044
589	27.22043912
590	27.2130383
591	26.85801726
592	26.85655951
593	26.84591595
594	26.83813342
595	26.83647264
596	26.83334454
597	26.82976663
598	26.82021797
599	26.81911616
600	26.81819556
601	26.80295719
602	26.80235352
603	26.7960677
604	26.78795266
605	26.78602484
606	26.78477251
607	26.77730606
608	26.77607575
609	26.76277381
610	26.74470907
611	26.74374729
612	26.73716913
613	26.73082333
614	26.71695762
615	26.37346595
616	26.37241625
617	26.36763761
618	26.36610424
619	26.36425047
620	26.32757471
621	26.28202973
622	26.27488509
623	26.27396788
624	26.26059862
625	26.25727668
626	26.23774241
627	26.23159742
628	26.22980689
629	26.2119295
630	26.21055743
631	26.20880095
632	26.2036842
633	26.2012521
634	26.19544686
635	26.18279358
636	26.18171777
637	26.16080769
638	26.15009723
639	26.14892871
640	26.14669793
641	26.1457954
642	26.13983691
643	26.12765284
644	26.12661355
645	26.12342101
646	26.12329702
647	26.12215601
648	26.11744167
649	26.1166292
650	26.11540661
651	26.10977726
652	26.09826848
653	26.09545699
654	26.08777955
655	26.06969455
656	26.06880954
657	26.06774865
658	26.06680032
659	26.06071375
660	26.05552223
661	26.05101107
662	26.05024433
663	26.04637908
664	26.04544331
665	26.03819134
666	26.03602181
667	26.0287215
668	26.02790302
669	25.69536187
670	25.68423386
671	25.68410271
672	25.68323419
673	25.64389719
674	25.63980063
675	25.63713307
676	25.62814293
677	25.62368055
678	25.26111607
679	24.91641267
680	24.83440362
681	24.80888682
682	24.80537107
683	24.78019133
684	24.7774097
685	24.77728977
686	24.76326779
687	24.76241672
688	24.75147407
689	24.73984001
690	24.7377507
691	24.73345477
692	24.73333986
693	24.71828563
694	24.71567978
695	24.71310682
696	24.70578469
697	24.70507067
698	24.7037916
699	24.69089391
700	24.68777683
701	24.68607228
702	24.68315877
703	24.66275818
704	24.66080634
705	24.66019924
706	24.65957313
707	24.6531255
708	24.65248856
709	24.64757386
710	24.64481216
711	24.64204534
712	24.64053371
713	24.63933861
714	24.63922506
715	24.60868735
716	24.59537692
717	24.59470515
718	24.59459725
719	24.58895775
720	24.58883818
721	24.58823143
722	24.57537308
723	24.57528065
724	24.54144731
725	24.54047833
726	24.53290967
727	24.5279338
728	24.52787775
729	24.5139805
730	24.51182732
731	24.51042776
732	24.51033529
733	24.50981205
734	24.50946095
735	24.50925124
736	24.50839694
737	24.49755458
738	24.49744242
739	24.49503554
740	24.49254163
741	24.49241579
742	24.48065252
743	24.47094323
744	24.4708449
745	24.46652717
746	24.46257065
747	24.46201487
748	24.4597731
749	24.44826887
750	24.43702585
751	24.43294286
752	24.43142755
753	24.42743844
754	24.42274837
755	24.42027952
756	24.40150832
757	24.40139365
758	24.40022434
759	24.39656337
760	24.39609081
761	24.38547287
762	24.38466588
763	24.38247828
764	24.37392192
765	24.37305793
766	24.37295519
767	24.19286151
768	24.19079029
769	24.18729927
770	24.18697751
771	24.18345783
772	24.17295422
773	24.16339479
774	24.1626769
775	24.15655039
776	24.14813312
777	24.14578552
778	24.13705915
779	24.12885394
780	24.12540183
781	24.11767234
782	24.11441378
783	24.10716432
784	24.10414389
785	23.79290953
786	23.78365678
787	23.77785164
788	23.75380474
789	23.75244887
790	23.75235807
791	23.74768037
792	23.74615826
793	23.74543055
794	23.74505233
795	23.73474024
796	23.72551554
797	23.72263119
798	23.72254923
799	23.712384
800	23.71025804
801	23.70910644
802	23.69702819
803	23.67022075
804	23.66374457
805	23.64736078
806	23.63259408
807	23.63081271
808	23.36305862
809	23.35009942
810	23.34898534
