iter	Passed	Remaining
403	10496	15485
404	10518	15453
405	10541	15422
406	10569	15400
407	10594	15372
408	10618	15344
409	10642	15314
410	10665	15284
411	10688	15253
412	10712	15226
413	10734	15194
414	10756	15162
415	10782	15136
416	10807	15109
417	10833	15083
418	10858	15056
419	10883	15029
420	10909	15003
421	10932	14974
422	10959	14948
423	10982	14920
424	11010	14896
425	11033	14866
426	11055	14835
427	11079	14807
428	11104	14780
429	11129	14753
430	11154	14726
431	11179	14699
432	11208	14676
433	11237	14655
434	11262	14628
435	11288	14601
436	11311	14572
437	11332	14541
438	11356	14512
439	11379	14482
440	11403	14455
441	11426	14425
442	11459	14408
443	11484	14381
444	11515	14361
445	11542	14337
446	11564	14306
447	11583	14273
448	11612	14250
449	11637	14223
450	11660	14194
451	11684	14166
452	11711	14141
453	11737	14115
454	11759	14085
455	11783	14057
456	11810	14032
457	11835	14006
458	11861	13980
459	11886	13954
460	11910	13926
461	11938	13901
462	11961	13873
463	11987	13847
464	12013	13821
465	12039	13796
466	12061	13765
467	12084	13737
468	12108	13709
469	12134	13683
470	12161	13658
471	12191	13637
472	12220	13615
473	12247	13590
474	12273	13565
475	12303	13544
476	12327	13516
477	12353	13490
478	12376	13461
479	12393	13425
480	12420	13402
481	12443	13372
482	12470	13348
483	12493	13319
484	12518	13293
485	12541	13264
486	12563	13234
487	12587	13206
488	12609	13176
489	12635	13151
490	12662	13126
491	12688	13101
492	12713	13074
493	12735	13044
494	12760	13017
495	12786	12992
496	12811	12966
497	12835	12938
498	12857	12909
499	12882	12882
500	12906	12854
501	12930	12827
502	12952	12798
503	12982	12776
504	13009	12751
505	13030	12721
506	13054	12693
507	13078	12667
508	13102	12639
509	13124	12609
510	13146	12580
511	13170	12553
512	13194	12525
513	13215	12496
514	13239	12468
515	13264	12442
516	13287	12413
517	13312	12387
518	13336	12360
519	13362	12334
520	13384	12305
521	13414	12283
522	13443	12261
523	13466	12232
524	13489	12204
525	13514	12178
526	13540	12153
527	13561	12123
528	13589	12099
529	13613	12072
530	13636	12044
531	13662	12018
532	13684	11990
533	13708	11962
534	13731	11935
535	13756	11908
536	13779	11880
537	13808	11857
538	13833	11831
539	13860	11807
540	13882	11777
541	13905	11750
542	13929	11723
543	13954	11697
544	13977	11669
545	14001	11641
546	14026	11616
547	14054	11592
548	14079	11566
549	14107	11542
550	14130	11514
551	14157	11490
552	14187	11467
553	14216	11444
554	14241	11418
555	14266	11392
556	14294	11368
557	14324	11346
558	14349	11320
559	14373	11293
560	14395	11265
561	14418	11237
562	14443	11211
563	14468	11185
564	14491	11157
565	14519	11133
566	14544	11107
567	14569	11081
568	14597	11057
569	14620	11029
570	14643	11001
571	14670	10977
572	14691	10948
573	14714	10920
574	14739	10894
575	14764	10868
576	14788	10841
577	14814	10815
578	14838	10789
579	14860	10761
580	14885	10735
581	14910	10708
582	14935	10682
583	14960	10656
584	14987	10631
585	15011	10605
586	15033	10577
587	15058	10551
588	15086	10526
589	15108	10499
590	15133	10473
591	15155	10445
592	15180	10419
593	15205	10392
594	15231	10367
595	15253	10339
596	15281	10315
597	15304	10287
598	15332	10264
599	15362	10241
600	15388	10216
601	15415	10191
602	15445	10168
603	15469	10142
604	15496	10117
605	15520	10091
606	15545	10065
607	15573	10040
608	15601	10016
609	15627	9991
610	15650	9964
